name,win_rate,link,filter
GPT-4,77.01863354037268,,minimal
Claude,75.83850931677019,,minimal
ChatGPT,67.70186335403726,,minimal
WizardLM 13B,66.14906832298136,https://huggingface.co/WizardLM/WizardLM-13B-1.0,minimal
Vicuna 13B,63.22981366459627,https://huggingface.co/lmsys/vicuna-13b-delta-v1.1,minimal
Guanaco 65B,62.60869565217392,https://huggingface.co/timdettmers/guanaco-65b,minimal
Nous Hermes 13B,60.86956521739131,https://huggingface.co/NousResearch/Nous-Hermes-13b,verified
Guanaco 33B,57.88819875776397,https://huggingface.co/timdettmers/guanaco-33b,verified
Vicuna 7B,57.329192546583855,https://huggingface.co/lmsys/vicuna-7b-delta-v1.1,verified
LLaMA 33B OASST RLHF,57.329192546583855,https://huggingface.co/OpenAssistant/oasst-rlhf-2-llama-30b-7k-steps-xor,minimal
Guanaco 13B,53.36239103362392,https://huggingface.co/timdettmers/guanaco-13b,verified
LLaMA 33B OASST SFT,51.24223602484472,https://huggingface.co/OpenAssistant/oasst-sft-7-llama-30b-xor,verified
Davinci003,50.0,,minimal
Alpaca Farm PPO Sim (GPT-4) 7B,48.19875776397515,https://huggingface.co/tatsu-lab/alpaca-farm-ppo-sim-gpt4-20k-wdiff,verified
Guanaco 7B,47.5776397515528,https://huggingface.co/timdettmers/guanaco-7b,verified
Falcon 40B Instruct,46.70807453416149,https://huggingface.co/tiiuae/falcon-40b-instruct,minimal
Alpaca Farm PPO Human 7B,46.45962732919255,https://huggingface.co/tatsu-lab/alpaca-farm-ppo-human-wdiff,minimal
Pythia 12B SFT,43.22981366459627,https://huggingface.co/OpenAssistant/pythia-12b-sft-v8-7k-steps,verified
Pythia 12B OASST SFT,32.79503105590062,https://huggingface.co/OpenAssistant/oasst-sft-4-pythia-12b-epoch-3.5,verified
Alpaca 7B,32.298136645962735,https://huggingface.co/tatsu-lab/alpaca-7b-wdiff,minimal
Falcon 7B Instruct,29.565217391304348,https://huggingface.co/tiiuae/falcon-7b-instruct,verified
Cohere,27.45341614906832,,verified
Davinci001,21.490683229813666,,minimal
